name,total_no_of_comments,unique_engagers,unique_posts
Congressman Adam Schiff,83213,31205,2304
Congresswoman Barbara Lee,62322,25085,2494
Congressman Eric Swalwell,60865,15469,2835
Congressman Mark Takano,60723,20913,1293
Congresswoman Jackie Speier,47338,17710,2647
Congressman Ami Bera,37060,10148,2500
Congressmember Karen Bass,28325,15050,2245
Congressman John Garamendi,28247,11287,2432
"Congressman Raul Ruiz, MD",24667,9143,1324
La Jornada Baja California,19580,8037,4014
Clima La Paz B. California Sur,18169,6138,1430
Congresswoman Susan Davis,16839,5251,1689
Congressman Brad Sherman,15704,8930,627
Congressman Jared Huffman,15512,6139,935
Congressman Scott Peters,14766,4999,1445
Congresswoman Julia Brownley,12718,4616,1082
"California State University, Los Angeles",11130,5561,2129
Congresswoman Anna Eshoo,9761,4169,685
Congresswoman Doris O. Matsui,9464,4158,1275
Mike Levin,5838,2334,318
Congresswoman Norma Torres,5110,1907,1179
Congressman Salud Carbajal,4851,2067,199
Congressman Jerry McNerney,4837,2254,916
Visit La Quinta - California,4360,2378,1125
Ammar Campa for Congress,4087,3428,105
Congressman Juan Vargas,3739,1782,537
Congressman Jim Costa,3654,2239,738
Barbara Lee,3352,1686,810
Doris Matsui,1771,968,336
Jimmy Panetta for Congress,1037,587,194
Harley Rouda,968,634,115
Julia Brownley for Congress,862,520,157
Wendy Reed for Congress,820,212,361
Mercado La California,785,641,129
Salud Carbajal For U.S. Congress,715,435,199
Norma Torres for Congress,700,294,191
Robert Owen,629,429,80
Nanette Barragán for Congress,548,370,148
Stephen Jaffe For Congress,528,296,138
We Support Congresswoman Maxine Waters,516,186,19
Katie Hill for Congress,501,268,139
Phil Janowicz for Congress,496,233,153
Jackie Speier,481,252,81
Laura Oatman,458,365,36
Andrew Janz for Congress,419,220,92
Brad Sherman,367,269,62
Marty Walters for Congress,367,104,37
La California,303,265,26
Dave Min for Congress,265,180,71
Dennis Duncan For Congress,243,112,69
Roza Calderon for Congress 2018,234,132,90
Glenn Jensen for Congress,203,54,111
Dr. Hans Keirstead for Congress,157,117,45
Brian Forde for Congress,147,136,11
Dotty Nygard For Congress CD-10,136,110,40
Paul Kerr,125,104,23
Judy Chu for Congress,96,66,34
Tony Zarkades for Congress,83,21,25
Microbar La California,77,69,26
Anna Eshoo for Congress,76,53,33
Josh Butner for Congress,75,49,33
Gil Cisneros for Congress,70,53,26
Jessica Holcombe for Congress,70,59,30
Sam Jammal For Congress,57,46,16
Jim Costa for Congress,52,36,17
Wendy Reed Not for Congress,40,11,12
Grace Napolitano for Congress,39,34,20
Los callegones de Los Angeles California,34,31,10
US Congresswoman Maxine Waters,21,12,10
Michael Kotick for Congress,20,18,10
Jessica Heredia PLG Estates,19,16,18
Lucille Roybal-Allard,13,12,7
TJ Cox for Congress,11,11,7
Boyd Roberts For Congress,9,7,7
Katie Porter for Congress California CD-45,5,2,4
MyFit Apparel,4,2,4
Brad Westmoreland for Congress,3,2,2
Defeat Congresswoman Karen Bass in 2018,2,2,2
Lori Susan Kuhn,2,2,1
Ro khanna For Congress,2,2,1
Seth Vaughn for Congress,2,1,1
realist films,1,1,1
